unit12,grammarId,originalNo,sourceUnit_原18単元,displayExpression,role(要人間),linkedMissionIds(要人間),orderingReason
1,n2g-001,1,1単元,〜あげく,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-002,2,1単元,〜あまり,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-003,3,1単元,〜以上は,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-004,4,1単元,〜一方/一方で,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-005,5,1単元,〜一方だ,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-006,6,1単元,〜上では,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-007,7,1単元,〜上は,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-008,8,1単元,〜うちに,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-009,9,1単元,〜うちは,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-010,10,1単元,〜しようではないか,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-011,11,2単元,〜得る（うる）,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-012,12,2単元,〜得ない（えない）,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-013,13,2単元,〜おかげで,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-014,14,2単元,〜恐れがある,,,原本番号順の仮配置（機能別再編は要人間）
1,n2g-015,15,2単元,〜甲斐がある,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-016,16,2単元,〜がきっかけで/がきっかけになって,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-017,17,2単元,〜限りは/ない限り,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-018,18,2単元,〜が契機で,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-019,19,2単元,〜かけ,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-020,20,2単元,〜がたい,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-021,21,3単元,〜がちだ,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-022,22,3単元,〜かというと,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-023,23,3単元,〜かと思うと,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-024,24,3単元,〜かと思えば,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-025,25,3単元,〜か〜ないかのうちに,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-026,26,3単元,〜か何か,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-027,27,3単元,〜かねない,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-028,28,3単元,〜かねる,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-029,29,3単元,〜かのようだ,,,原本番号順の仮配置（機能別再編は要人間）
2,n2g-030,30,3単元,〜からいいようなものの,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-031,31,4単元,〜からいうと,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-032,32,4単元,〜からこそ,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-033,33,4単元,〜からして,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-034,34,4単元,〜からすると,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-035,35,4単元,〜からといって,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-036,36,4単元,〜からには,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-037,37,4単元,〜から見ると,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-038,38,4単元,〜代わりに,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-039,39,4単元,〜気味,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-040,40,4単元,〜きりだ,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-041,41,5単元,〜きる,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-042,42,5単元,〜くせに,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-043,43,5単元,〜くらい,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-044,44,5単元,〜ことか,,,原本番号順の仮配置（機能別再編は要人間）
3,n2g-045,45,5単元,〜ことから,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-046,46,5単元,〜ことだ,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-047,47,5単元,〜ことだから,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-048,48,5単元,〜ことなく,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-049,49,5単元,〜ことは〜が,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-050,50,5単元,〜ことはない,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-051,51,6単元,〜際は,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-052,52,6単元,〜最中に,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-053,53,6単元,〜ざるを得ない,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-054,54,6単元,〜次第,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-055,55,6単元,〜上は（じょうは）,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-056,56,6単元,〜末に,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-057,57,6単元,〜ずにすむ,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-058,58,6単元,〜ずにはいられない,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-059,59,6単元,〜せいで,,,原本番号順の仮配置（機能別再編は要人間）
4,n2g-060,60,6単元,〜たいばかりに,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-061,61,7単元,〜だけであって,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-062,62,7単元,たとえ〜ても,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-063,63,7単元,〜たところ,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-064,64,7単元,〜たところが,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-065,65,7単元,〜たとたんに,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-066,66,7単元,〜たばかり,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-067,67,7単元,〜たびに,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-068,68,7単元,〜だらけ,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-069,69,7単元,〜ついでに,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-070,70,7単元,〜っこない,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-071,71,8単元,〜つつ,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-072,72,8単元,〜つつある,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-073,73,8単元,〜っぽい,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-074,74,8単元,〜つもりだ,,,原本番号順の仮配置（機能別再編は要人間）
5,n2g-075,75,8単元,〜つもりで,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-076,76,8単元,〜て以来,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-077,77,8単元,〜てからでないと,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-078,78,8単元,〜てしょうがない,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-079,79,8単元,〜てたまらない,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-080,80,8単元,〜てでも,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-081,81,9単元,〜てならない,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-082,82,9単元,〜てはいられない,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-083,83,9単元,〜てばかりはいられない,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-084,84,9単元,〜てはじめて,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-085,85,9単元,〜ということだ,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-086,86,9単元,〜というものではない,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-087,87,9単元,〜というより,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-088,88,9単元,〜といっても,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-089,89,9単元,〜とおりに,,,原本番号順の仮配置（機能別再編は要人間）
6,n2g-090,90,9単元,〜とか,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-091,91,10単元,〜どころか,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-092,92,10単元,〜ところだった,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-093,93,10単元,〜どころではない,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-094,94,10単元,〜ところに,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-095,95,10単元,〜ところを,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-096,96,10単元,〜としか言いようがない,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-097,97,10単元,〜としたら/とすれば/とすると,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-098,98,10単元,〜とともに,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-099,99,10単元,〜とは限らない,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-100,100,10単元,〜ないことには,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-101,101,11単元,〜ないことはない,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-102,102,11単元,〜ないではない,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-103,103,11単元,〜ながらも,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-104,104,11単元,〜なくはない,,,原本番号順の仮配置（機能別再編は要人間）
7,n2g-105,105,11単元,〜ならともかく,,,原本番号順の仮配置（機能別再編は要人間）
