questionId,grammarId,questionType,prompt,choices,correctIndex,explanationJa,explanationZh,reviewStatus
n2g-001-q1,n2g-001,grammarChoice,長時間迷った（　）、参加を見送った。,あげく | うちに | 一方で | 上では,0,「長く迷った末に見送った」という経過→結果。あげくが適切。,经过长时间犹豫最终放弃，符合「あげく」的“折腾到最后”。,draft
n2g-001-q2,n2g-001,contextFill,（悪い結果を述べる文として自然なのは？）,準備したあげく、優勝した | 準備しなかったあげく、負けた | よく寝たあげく、元気になった | 練習したあげく、上達した,1,あげくは残念な結果に使う。「準備しなかった→負けた」が自然。,「あげく」用于消极结果，只有“没准备→输了”自然。,draft
n2g-001-q3,n2g-001,similarCompare,「苦労した（　）、失敗した」に最も自然なのは？,あげく | ものの | から | ように,0,苦労の末の残念な結果を一語で表すのはあげく。,“折腾到最后失败了”用「あげく」最贴切。,draft
n2g-002-q1,n2g-002,grammarChoice,緊張（　）あまり、声が震えた。,の | に | で | を,0,名詞＋の＋あまり。,名词后用「の」＋あまり。,draft
n2g-002-q2,n2g-002,contextFill,（「あまり」の“程度過剰”に合うのは？）,心配するあまり眠れなかった | 安く買えてあまり得した | 時間があまり余った | あまり難しくない,0,過剰な心配が原因で眠れない。他は副詞や別義。,只有“过于担心导致失眠”符合本语法。,draft
n2g-002-q3,n2g-002,errorCorrection,誤りを含むのは？,喜びのあまり泣いた | 集中するあまりミスした | 緊張あまり失敗した | 心配のあまり電話した,2,「緊張あまり」は誤り。名詞には「の」が必要。,“緊張あまり”错误，名词需加「の」。,draft
n2g-003-q1,n2g-003,grammarChoice,約束した（　）は、守らなければならない。,以上 | あまり | あげく | うちに,0,「約束した以上は当然守る」。,“既然约好了就必须遵守”。,draft
n2g-003-q2,n2g-003,contextFill,「以上は」の後に最も自然なのは？,やり切るつもりだ | 雨が降っていた | 駅に着いた | 3時です,0,後件は決意・当然。事実の羅列は不自然。,后半应为决心/理应，不能只是事实。,draft
n2g-003-q3,n2g-003,similarCompare,「以上は」と最も近いのは？,からには | ながら | ついでに | とたんに,0,「からには」がほぼ同義。,「からには」几乎同义。,draft
n2g-004-q1,n2g-004,grammarChoice,読解は得意な（　）、聴解は苦手だ。,一方で | あげく | 以上は | うちに,0,得意と苦手の対比。,擅长与不擅长的对比。,draft
n2g-004-q2,n2g-004,similarCompare,「一方で」と機能が近いのは？,のに対して | おかげで | せいで | ばかりに,0,「のに対して」が対比で近い。,「のに対して」表对比，最接近。,draft
n2g-004-q3,n2g-004,errorCorrection,「一方（で）」の使い方が誤っているのは？,安い一方で品質も良い | 人口が減る一方だ | 忙しい一方で休みも取る | 得意な一方で苦手もある,1,「減る一方だ」は変化(005)で対比ではない。本問は対比としては誤用例。,“減る一方だ”是单向变化(005)，非对比。,draft
n2g-005-q1,n2g-005,grammarChoice,練習しないと、実力は落ちる（　）。,一方だ | 一方で | あまり | 以上だ,0,一方向の変化（悪化）。,单向变化（下降）。,draft
n2g-005-q2,n2g-005,similarCompare,「増える一方だ」に近い意味は？,ますます増える | 増えたり減ったりする | あまり増えない | 増える場合もある,0,止まらず増え続ける。,不停地持续增加。,draft
n2g-005-q3,n2g-005,contextFill,「一方だ」が自然なのは？,物価は上がる一方だ | 雨が降った一方だ | 駅に着く一方だ | 3時な一方だ,0,継続的傾向のみ自然。,只有持续趋势自然。,draft
n2g-006-q1,n2g-006,grammarChoice,日本語を学ぶ（　）で、目標を持つことが大切だ。,上 | あげく | 一方 | うち,0,「学ぶ上で（＝学ぶ際に）」。,“在学习方面”。,draft
n2g-006-q2,n2g-006,similarCompare,「〜する上で」に近いのは？,〜する際に | 〜したとたん | 〜するあまり | 〜したあげく,0,「際に」が観点・場面で近い。,「際に」表场合，最接近。,draft
n2g-006-q3,n2g-006,errorCorrection,観点の「上で」として不自然なのは？,健康を保つ上で運動は大切 | 手を洗った上で食べる | 仕事をする上で信頼が要る | 学ぶ上で復習が要る,1,「洗った上で食べる」は順序用法で観点ではない。,“洗手后再吃”是顺序用法，非“方面”。,draft
n2g-007-q1,n2g-007,grammarChoice,引き受けた（　）は、最後までやる。,上 | あまり | うち | 一方,0,「引き受けた上は」＝からには。,“既然接下了就…”。,draft
n2g-007-q2,n2g-007,similarCompare,「上は」と最も意味が近いのは？,以上は | うちに | あげく | 一方で,0,以上は とほぼ同義（原本メモ通り）。,与「以上は」几乎同义。,draft
n2g-007-q3,n2g-007,contextFill,「上は」の後に自然なのは？,全力を尽くす | 天気が良い | 駅が近い | 3時だ,0,決意・当然が来る。,后半应为决心/理应。,draft
n2g-008-q1,n2g-008,grammarChoice,忘れない（　）にメモしよう。,うち | あげく | 一方 | 以上,0,「忘れないうちに」＝忘れる前に。,“趁还没忘之前”。,draft
n2g-008-q2,n2g-008,contextFill,「うちに」が自然なのは？,温かいうちに食べる | 食べたうちに温かい | 3時のうちに | 静かうちに,0,状態が続く間に行動。他は接続/意味の誤り。,状态持续时去做。,draft
n2g-008-q3,n2g-008,similarCompare,「明るいうちに帰る」に近いのは？,暗くなる前に帰る | 暗くなってから帰る | 明るくなったら帰る | 明るいので帰らない,0,変化（暗くなる）前に行動。,在变暗之前行动。,draft
n2g-009-q1,n2g-009,grammarChoice,初心者の（　）は、基礎を大切にしよう。,うち | あげく | 一方 | 得,0,「初心者のうちは」＝初心者である期間は。,“还是初学者的期间”。,draft
n2g-009-q2,n2g-009,similarCompare,「〜うちは」に近いのは？,〜限りは | 〜たとたん | 〜あまり | 〜あげく,0,「限りは」が持続条件で近い。,「限りは」表持续条件，最接近。,draft
n2g-009-q3,n2g-009,contextFill,「うちは」が自然なのは？,元気なうちは働きたい | 元気なうちは転んだ | 元気うちは走る | 元気なうちは3時だ,0,持続状態＋持続的意向が自然。,持续状态＋持续意向自然。,draft
n2g-010-q1,n2g-010,grammarChoice,さあ、一緒に練習を（　）ではないか。,始めよう | 始める | 始めた | 始め,0,意向形＋ではないか。,意向形＋ではないか。,draft
n2g-010-q2,n2g-010,contextFill,「〜ようではないか」が自然な場面は？,チームへの呼びかけ | 上司への依頼 | 道を尋ねる | 謝罪する,0,勧誘・鼓舞の呼びかけ専用。,仅用于号召/激励。,draft
n2g-010-q3,n2g-010,similarCompare,「しようではないか」に近いのは？,しようじゃないか | するのではないか | しないだろうか | するそうだ,0,「しようじゃないか」が口語同義。,「しようじゃないか」为口语同义。,draft
